1,Katelyn Tuohy,SO-2,NC State,05:13.2,19:27.7,1
2,Parker Valby,SO-2,Florida,05:14.0,19:30.9,
3,Kelsey Chmiel,JR-3,NC State,05:15.7,19:37.1,2
4,Elise Stearns,SO-2,Northern Arizona,05:17.5,19:43.9,3
5,Bailey Hertenstein,JR-3,Colorado,05:17.8,19:45.1,4
6,Hilda Olemomoi,FR-1,Alabama,05:18.0,19:45.6,5
7,Natalie Cook,FR-1,Oklahoma State,05:18.2,19:46.3,6
8,Olivia Markezich,JR-3,Notre Dame,05:18.2,19:46.4,7
9,Amaris Tyynismaa,JR-3,Alabama,05:18.7,19:48.2,8
10,Addie Engel,SO-2,Ohio State,05:19.3,19:50.4,9
11,Maia Ramsden,SO-2,Harvard,05:19.8,19:52.3,
12,Emily Venters,SR-4,Utah,05:20.2,19:54.1,10
13,Taylor Roe,JR-3,Oklahoma State,05:20.9,19:56.4,11
14,Flomena Asekol,JR-3,Alabama,05:20.9,19:56.5,12
15,Samantha Bush,JR-3,NC State,05:21.2,19:57.6,13
16,Mercy Chelangat,SR-4,Alabama,05:21.4,19:58.4,14
17,Kelsey Harrington,SO-2,North Carolina,05:21.5,19:58.8,15
18,Kaylee Mitchell,JR-3,Oregon State,05:21.6,19:59.2,16
19,Everlyn Kemboi,SR-4,Utah Valley,05:21.8,19:59.7,17
20,Zofia Dudek,SO-2,Stanford,05:22.3,20:01.8,18
21,Maggie Donahue,JR-3,Georgetown,05:22.5,20:02.5,19
22,Amelia Mazza-Downie,SO-2,New Mexico,05:22.6,20:02.8,20
23,Savannah Roark,SO-2,Syracuse,05:22.6,20:02.9,21
24,Ceili McCabe,JR-3,West Virginia,05:22.7,20:03.2,22
25,Laura Pellicoro,SO-2,Portland,05:22.7,20:03.2,
26,Gracelyn Larkin,JR-3,New Mexico,05:22.9,20:03.8,23
27,Bethany Graham,SO-2,Furman,05:22.9,20:04.0,
28,Amina Maatoug,SO-2,Duke,05:23.1,20:04.6,
29,Nevada Mareno,SR-4,NC State,05:23.8,20:07.5,24
30,Ella Baran,JR-3,Colorado,05:24.3,20:09.2,25
31,Grace Fetherstonhaugh,JR-3,Oregon State,05:24.5,20:09.8,26
32,Aubrey Frentheway,SR-4,BYU,05:24.5,20:09.9,27
33,Katie Osika,JR-3,Michigan State,05:24.8,20:11.0,28
34,Lexy Halladay-Lowry,JR-3,BYU,05:25.1,20:12.2,29
35,Yasmin Marghini,SO-2,Boise State,05:25.3,20:12.9,
36,Izzy Thornton-Bott,JR-3,Oregon,05:25.4,20:13.3,30
37,Samree Dishon,SO-2,New Mexico,05:25.5,20:13.5,31
38,Emma Heckel,SO-2,New Mexico,05:25.5,20:13.6,32
39,Grace Jensen,SR-4,Georgetown,05:25.5,20:13.7,33
40,Elise Thorner,SO-2,New Mexico,05:25.6,20:13.9,34
41,Victoria Patterson,SO-2,Columbia,05:25.6,20:14.0,
42,Brynn Brown,SO-2,North Carolina,05:25.8,20:14.8,35
43,Sarah Carter,JR-3,Colorado St.,05:25.9,20:15.0,36
44,Mia Barnett,SO-2,Virginia,05:25.9,20:15.3,37
45,Simone Plourde,SO-2,Utah,05:26.1,20:15.7,38
